season,row_count,generated_at_utc,source_endpoint
2003,27384,2026-05-30 15:01:30 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/standings/json/2003.json
2004,27384,2026-05-30 15:01:44 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/standings/json/2004.json
2005,27636,2026-05-30 15:01:58 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/standings/json/2005.json
2006,28056,2026-05-30 15:02:12 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/standings/json/2006.json
2007,28224,2026-05-30 15:02:27 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/standings/json/2007.json
2008,28644,2026-05-30 15:02:40 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/standings/json/2008.json
2009,29232,2026-05-30 15:02:54 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/standings/json/2009.json
2010,29148,2026-05-30 15:03:09 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/standings/json/2010.json
2011,29064,2026-05-30 15:03:24 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/standings/json/2011.json
2012,28896,2026-05-30 15:03:38 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/standings/json/2012.json
2013,29148,2026-05-30 15:03:52 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/standings/json/2013.json
2014,17234,2026-05-30 15:04:05 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/standings/json/2014.json
2015,29484,2026-05-30 15:04:20 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/standings/json/2015.json
2016,29484,2026-05-30 15:04:35 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/standings/json/2016.json
2017,26586,2026-05-30 15:04:49 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/standings/json/2017.json
2018,28084,2026-05-30 15:05:03 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/standings/json/2018.json
2019,28378,2026-05-30 15:05:18 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/standings/json/2019.json
2020,28476,2026-05-30 15:05:34 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/standings/json/2020.json
2022,30072,2026-05-30 15:09:44 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/standings/json/2022.json
2024,30408,2026-05-30 15:13:42 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/standings/json/2024.json
2026,31332,2026-05-30 15:17:43 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/standings/json/2026.json
